160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
160,160,244,244,160,160,244,244,160,244,160,244
